"raceId","positionOrder","driver_name","constructor_name","year","round","circuitId","status","std_avg_lap"
955,7,"Daniel Ricciardo","Red Bull",2016,8,73,"Finished",-0.675128332060651
955,8,"Max Verstappen","Red Bull",2016,8,73,"Finished",-0.67352691612765
955,9,"Nico Hülkenberg","Force India",2016,8,73,"Finished",-0.665872431790704
955,10,"Felipe Massa","Williams",2016,8,73,"Finished",-0.657502932159812
955,11,"Jenson Button","McLaren",2016,8,73,"Finished",-0.636279531635112
955,12,"Felipe Nasr","Sauber",2016,8,73,"+1 Lap",-0.623289570426375
955,13,"Romain Grosjean","Haas F1 Team",2016,8,73,"+1 Lap",-0.620584978683136
955,14,"Kevin Magnussen","Renault",2016,8,73,"+1 Lap",-0.607479567066041
955,15,"Jolyon Palmer","Renault",2016,8,73,"+1 Lap",-0.593684924370698
955,16,"Esteban Gutiérrez","Haas F1 Team",2016,8,73,"+1 Lap",-0.588329186912904
955,17,"Marcus Ericsson","Sauber",2016,8,73,"+1 Lap",-0.572992403598218
955,18,"Rio Haryanto","Manor Marussia",2016,8,73,"+2 Laps",-0.487651366560407
955,19,"Fernando Alonso","McLaren",2016,8,73,"Gearbox",-0.552102270376397
955,20,"Pascal Wehrlein","Manor Marussia",2016,8,73,"Brakes",-0.515526673971793
955,21,"Carlos Sainz","Toro Rosso",2016,8,73,"Suspension",-0.543098689236831
955,22,"Daniil Kvyat","Toro Rosso",2016,8,73,"Suspension",0.00430376178214208
956,1,"Lewis Hamilton","Mercedes",2016,9,70,"Finished",-0.0742504838034871
956,2,"Max Verstappen","Red Bull",2016,9,70,"Finished",-0.0618045812817801
956,3,"Kimi Räikkönen","Ferrari",2016,9,70,"Finished",-0.0611408288304559
956,4,"Nico Rosberg","Mercedes",2016,9,70,"Finished",-0.0378855544211439
956,5,"Daniel Ricciardo","Red Bull",2016,9,70,"Finished",-0.00682846841184926
956,6,"Jenson Button","McLaren",2016,9,70,"Finished",0.00780672908043555
956,7,"Romain Grosjean","Haas F1 Team",2016,9,70,"Finished",0.0120765071443573
956,8,"Carlos Sainz","Toro Rosso",2016,9,70,"Finished",0.0289031758448034
956,9,"Valtteri Bottas","Williams",2016,9,70,"+1 Lap",0.0933249990673358
956,10,"Pascal Wehrlein","Manor Marussia",2016,9,70,"+1 Lap",0.0956890459128198
956,11,"Esteban Gutiérrez","Haas F1 Team",2016,9,70,"+1 Lap",0.0970597957643974
956,12,"Jolyon Palmer","Renault",2016,9,70,"+1 Lap",0.13012113437473
956,13,"Felipe Nasr","Sauber",2016,9,70,"+1 Lap",0.134266493829264
956,14,"Kevin Magnussen","Renault",2016,9,70,"+1 Lap",0.140864193195418
956,15,"Marcus Ericsson","Sauber",2016,9,70,"+1 Lap",0.14942420595619
956,16,"Rio Haryanto","Manor Marussia",2016,9,70,"+1 Lap",0.152618207623255
956,17,"Sergio Pérez","Force India",2016,9,70,"Brakes",0.0415842066404083
956,18,"Fernando Alonso","McLaren",2016,9,70,"Battery",0.182964948323989
956,19,"Nico Hülkenberg","Force India",2016,9,70,"Brakes",0.227022843425328
956,20,"Felipe Massa","Williams",2016,9,70,"Brakes",0.18163204492732
956,21,"Sebastian Vettel","Ferrari",2016,9,70,"Tyre",-0.367616763176108
956,22,"Daniil Kvyat","Toro Rosso",2016,9,70,"Retired",1.20181795634066
957,1,"Lewis Hamilton","Mercedes",2016,10,9,"Finished",0.284280503744387
957,2,"Max Verstappen","Red Bull",2016,10,9,"Finished",0.289735946898827
957,3,"Nico Rosberg","Mercedes",2016,10,9,"Finished",0.288850511943211
957,4,"Daniel Ricciardo","Red Bull",2016,10,9,"Finished",0.301612942595491
957,5,"Kimi Räikkönen","Ferrari",2016,10,9,"Finished",0.330399167007663
957,6,"Sergio Pérez","Force India",2016,10,9,"Finished",0.335158958501706
957,7,"Nico Hülkenberg","Force India",2016,10,9,"Finished",0.335668794461963
957,8,"Carlos Sainz","Toro Rosso",2016,10,9,"Finished",0.341055465969399
957,9,"Sebastian Vettel","Ferrari",2016,10,9,"Finished",0.341581833575587
957,10,"Daniil Kvyat","Toro Rosso",2016,10,9,"Finished",0.345513720241821
957,11,"Felipe Massa","Williams",2016,10,9,"+1 Lap",0.35873202237566
957,12,"Jenson Button","McLaren",2016,10,9,"+1 Lap",0.361547614513217
957,13,"Fernando Alonso","McLaren",2016,10,9,"+1 Lap",0.370917414306235
957,14,"Valtteri Bottas","Williams",2016,10,9,"+1 Lap",0.382164949756154
957,15,"Felipe Nasr","Sauber",2016,10,9,"+1 Lap",0.388065152532924
957,16,"Esteban Gutiérrez","Haas F1 Team",2016,10,9,"+1 Lap",0.395125034063669
957,17,"Kevin Magnussen","Renault",2016,10,9,"Gearbox",0.43222279689576
957,18,"Jolyon Palmer","Renault",2016,10,9,"Gearbox",0.673024480981615
957,19,"Rio Haryanto","Manor Marussia",2016,10,9,"Spun off",0.958713906838157
957,20,"Romain Grosjean","Haas F1 Team",2016,10,9,"Retired",1.23536083601196
957,21,"Marcus Ericsson","Sauber",2016,10,9,"Power Unit",2.0307886000495
957,22,"Pascal Wehrlein","Manor Marussia",2016,10,9,"Spun off",2.34316452981932
958,1,"Lewis Hamilton","Mercedes",2016,11,11,"Finished",-0.272496043913687
958,2,"Nico Rosberg","Mercedes",2016,11,11,"Finished",-0.267849638666318
958,3,"Daniel Ricciardo","Red Bull",2016,11,11,"Finished",-0.207773052458417
958,4,"Sebastian Vettel","Ferrari",2016,11,11,"Finished",-0.206188997255217
958,5,"Max Verstappen","Red Bull",2016,11,11,"Finished",-0.15813618911787
958,6,"Kimi Räikkönen","Ferrari",2016,11,11,"Finished",-0.157231350463225
958,7,"Fernando Alonso","McLaren",2016,11,11,"+1 Lap",-0.0533808398489227
958,8,"Carlos Sainz","Toro Rosso",2016,11,11,"+1 Lap",-0.0450787365670443
958,9,"Valtteri Bottas","Williams",2016,11,11,"+1 Lap",-0.0277497053629165
958,10,"Nico Hülkenberg","Force India",2016,11,11,"+1 Lap",-0.0108426937684807
958,11,"Sergio Pérez","Force India",2016,11,11,"+1 Lap",0.0244853545737613
958,12,"Jolyon Palmer","Renault",2016,11,11,"+1 Lap",0.04176669994628
958,13,"Esteban Gutiérrez","Haas F1 Team",2016,11,11,"+1 Lap",0.0392631937871745
958,14,"Romain Grosjean","Haas F1 Team",2016,11,11,"+1 Lap",0.0665728695455608
958,15,"Kevin Magnussen","Renault",2016,11,11,"+1 Lap",0.0696199941849146
958,16,"Daniil Kvyat","Toro Rosso",2016,11,11,"+1 Lap",0.0713342998310062
958,17,"Felipe Nasr","Sauber",2016,11,11,"+1 Lap",0.0748392084537444
958,18,"Felipe Massa","Williams",2016,11,11,"+2 Laps",0.203187798123071
958,19,"Pascal Wehrlein","Manor Marussia",2016,11,11,"+2 Laps",0.247382150273895
958,20,"Marcus Ericsson","Sauber",2016,11,11,"+2 Laps",0.256677310998888
958,21,"Rio Haryanto","Manor Marussia",2016,11,11,"+2 Laps",0.324670855250621
958,22,"Jenson Button","McLaren",2016,11,11,"Oil leak",0.221002958329876
959,1,"Lewis Hamilton","Mercedes",2016,12,10,"Finished",-0.636298739421528
959,2,"Daniel Ricciardo","Red Bull",2016,12,10,"Finished",-0.631121969885285
959,3,"Max Verstappen","Red Bull",2016,12,10,"Finished",-0.626373637965035
959,4,"Nico Rosberg","Mercedes",2016,12,10,"Finished",-0.624574051985597
959,5,"Sebastian Vettel","Ferrari",2016,12,10,"Finished",-0.61219819857027
959,6,"Kimi Räikkönen","Ferrari",2016,12,10,"Finished",-0.608903150722229
959,7,"Nico Hülkenberg","Force India",2016,12,10,"Finished",-0.584465187499829
959,8,"Jenson Button","McLaren",2016,12,10,"+1 Lap",-0.569274050261778
959,9,"Valtteri Bottas","Williams",2016,12,10,"+1 Lap",-0.565705227929391
959,10,"Sergio Pérez","Force India",2016,12,10,"+1 Lap",-0.56452062830443
959,11,"Esteban Gutiérrez","Haas F1 Team",2016,12,10,"+1 Lap",-0.559490023555959
959,12,"Fernando Alonso","McLaren",2016,12,10,"+1 Lap",-0.556177351174179
959,13,"Romain Grosjean","Haas F1 Team",2016,12,10,"+1 Lap",-0.553608339939328
959,14,"Carlos Sainz","Toro Rosso",2016,12,10,"+1 Lap",-0.551472755453748
959,15,"Daniil Kvyat","Toro Rosso",2016,12,10,"+1 Lap",-0.549596325610282
959,16,"Kevin Magnussen","Renault",2016,12,10,"+1 Lap",-0.537396526936253
959,17,"Pascal Wehrlein","Manor Marussia",2016,12,10,"+2 Laps",-0.508719716564507
959,18,"Marcus Ericsson","Sauber",2016,12,10,"+2 Laps",-0.501940577822033
959,19,"Jolyon Palmer","Renault",2016,12,10,"+2 Laps",-0.49256205734752
959,20,"Rio Haryanto","Manor Marussia",2016,12,10,"+2 Laps",-0.471659458648423
959,21,"Felipe Nasr","Sauber",2016,12,10,"Power Unit",-0.476916791700264
959,22,"Felipe Massa","Williams",2016,12,10,"Suspension",-0.469042173962846
960,1,"Nico Rosberg","Mercedes",2016,13,13,"Finished",1.68810788822245
960,2,"Daniel Ricciardo","Red Bull",2016,13,13,"Finished",1.71483441882152
960,3,"Lewis Hamilton","Mercedes",2016,13,13,"Finished",1.74043984787484
960,4,"Nico Hülkenberg","Force India",2016,13,13,"Finished",1.75610686322568
960,5,"Sergio Pérez","Force India",2016,13,13,"Finished",1.76510786938579
960,6,"Sebastian Vettel","Ferrari",2016,13,13,"Finished",1.77407289424628
960,7,"Fernando Alonso","McLaren",2016,13,13,"Finished",1.80068201218348
960,8,"Valtteri Bottas","Williams",2016,13,13,"Finished",1.80201900152681
960,9,"Kimi Räikkönen","Ferrari",2016,13,13,"Finished",1.80383321652817
960,10,"Felipe Massa","Williams",2016,13,13,"Finished",1.81285505396701
960,11,"Max Verstappen","Red Bull",2016,13,13,"Finished",1.82282566146392
960,12,"Esteban Gutiérrez","Haas F1 Team",2016,13,13,"Finished",1.82801264986546
